Life expectancy ,Adult Mortality,infant deaths,Alcohol,Population,Education
65,263,62,0.01,33736494,10.1
59.9,271,64,0.01,327582,10
59.9,268,66,0.01,31731688,9.9
59.5,272,69,0.01,3696958,9.8
59.2,275,71,0.01,2978599,9.5
58.8,279,74,0.01,2883167,9.2
58.6,281,77,0.01,284331,8.9
58.1,287,80,0.03,2729431,8.7
57.5,295,82,0.02,26616792,8.4
57.3,295,84,0.03,2589345,8.1
57.3,291,85,0.02,257798,7.9
57,293,87,0.02,24118979,6.8
56.7,295,87,0.01,2364851,6.5
56.2,3,88,0.01,21979923,6.2
55.3,316,88,0.01,2966463,5.9
54.8,321,88,0.01,293756,5.5
77.8,74,0,4.6,28873,14.2
77.5,8,0,4.51,288914,14.2
77.2,84,0,4.76,289592,14.2
76.9,86,0,5.14,2941,14.2
76.6,88,0,5.37,295195,13.3
76.2,91,1,5.28,291321,12.5
76.1,91,1,5.79,2927519,12.2
75.3,1,1,5.61,2947314,12
75.9,9,1,5.58,29717,11.6
74.2,99,1,5.31,2992547,11.4
73.5,15,1,5.16,311487,10.8
73,17,1,4.54,326939,10.9
72.8,18,1,4.29,339616,10.7
73.3,15,1,3.73,3511,10.7
73.6,14,1,4.25,36173,10.6
72.6,11,1,3.66,38927,10.7
75.6,19,21,,39871528,14.4
75.4,11,21,0.01,39113313,14.4
75.3,112,21,0.53,38338562,14.4
75.1,113,21,0.66,37565847,14.4
74.9,116,21,0.56,36819558,14
74.7,119,21,0.45,36117637,13.6
74.4,123,20,0.5,3546576,13.1
74.1,126,20,0.46,3486715,12.6
73.8,129,20,0.44,34376,12.3
73.4,132,20,0.36,33777915,12.3
72.9,136,19,0.5,33288437,12
72.3,14,19,0.45,3283196,11.7
71.7,146,20,0.34,3243514,11.5
71.6,145,20,0.36,3199546,11.1
71.4,145,20,0.23,31592153,10.9
71.3,145,21,0.25,3118366,10.7
52.4,335,66,,2785935,11.4
51.7,348,67,8.33,2692466,11.4
51.1,355,69,8.1,2599834,11.4
56,358,72,8.24,259615,10.3
51,361,75,8.06,24218565,9.4
49.6,365,78,7.8,23369131,9
49.1,369,81,7.01,22549547,8.5
48.7,371,84,7.07,2175942,8.1
48.2,375,87,6.35,2997687,7.7
47.7,381,90,5.84,2262399,7.2
47.4,382,92,5.04,19552542,6.8
47.1,386,94,3.53,18865716,6.4
46.8,388,95,3.49,1823369,5.9
46.5,391,96,2.82,17572649,5.5
45.7,44,97,2.58,16983266,5.1
45.3,48,97,1.85,1644924,4.6
76.4,13,0,,,13.9
76.2,131,0,8.56,,13.9
76.1,133,0,8.58,,13.9
75.9,134,0,8.18,,13.8
75.7,136,0,7.84,,14.1
75.6,138,0,7.84,,14.1
75.4,14,0,7.82,,14.2
75.2,142,0,8.27,,14.4
75,144,0,8.64,,14.5
74.8,145,0,8.93,,14.7
74.6,147,0,8.15,,0
74.4,149,0,7.28,,0
74.2,151,0,7.16,,0
74,153,0,7.21,,0
73.8,154,0,7.51,,0
73.6,156,0,7.27,,0
76.3,116,8,,43417765,17.3
76.2,118,8,7.93,42981515,17.3
76,119,8,8.28,42539925,17.3
75.9,12,9,8.35,4296739,17.2
75.7,12,9,8.11,41656879,17.1
75.5,121,10,8.15,41223889,16.8
75.6,126,10,8.33,479947,16.5
75.4,126,10,8.41,4382389,16.3
74.8,129,10,8.16,3997224,16.3
75.2,127,11,7.75,3955889,16.1
74.9,127,11,7.53,39145488,16.3
74.7,13,11,7.63,38728696,16.3
74.1,137,11,7.62,3839379,16.4
74.1,138,12,7.81,3788937,16.3
74,138,12,7.76,3747159,15.6
74.1,137,12,7.68,3757452,15
74.8,118,1,,291695,12.7
74.6,12,1,3.91,29622,12.7
74.4,123,1,3.79,289359,12.7
74.4,121,1,3.89,2881922,12.7
73.9,128,1,4.09,2875581,12.7
73.5,132,1,4.23,2877311,12.3
73.3,137,1,3.96,2888584,11.9
73.2,14,1,3.96,29822,12.3
73.5,132,1,3.99,293356,11.7
72.9,141,1,4.01,29585,11.2
73,137,1,4.25,2981259,10.9
73,132,1,3.81,3612,10.9
72.7,134,1,3.03,31786,10.8
72.6,134,1,2.86,333897,10.8
72.6,141,1,2.86,35655,11.1
72,142,1,2.9,369588,11.2
82.8,59,1,,23789338,20.4
82.7,6,1,9.71,2346694,20.4
82.5,61,1,9.87,23117353,20.3
82.3,61,1,10.03,22728254,20.1
82,63,1,10.3,223424,19.8
81.9,64,1,10.52,223175,19.5
81.7,66,1,10.62,216917,19.1
81.3,66,1,10.76,212492,19.1
81.3,66,1,10.56,28276,19
81.2,66,1,10.31,26979,20.3
81,67,1,10.3,23948,20.3
86,69,1,9.84,21274,20.7
83,71,1,9.97,198954,20.6
79.9,73,1,9.84,196514,20.1
79.9,75,1,9.53,19413,20.5
79.5,78,1,10.17,19153,20.4
81.5,65,0,,8633169,15.9
81.4,66,0,12.32,8541575,15.9
81.1,68,0,11.82,8479375,15.7
88,7,0,12.26,8429991,15.7
88,73,0,12.04,8391643,15.7
84,75,0,12.1,836344,15.4
82,77,0,11.3,8343323,15.3
84,76,0,12,8321496,15.1
81,8,0,12.5,8295487,15.2
79.8,81,0,12.4,8268641,15
79.4,85,0,12.4,8227829,14.9
79.3,86,0,12.1,8171966,14.7
78.8,88,0,12.2,8121423,14.7
78.7,9,0,12.5,881957,16.1
78.6,92,0,12.4,842293,15.5
78.1,96,0,13.2,811566,15.4
72.7,118,5,,9649341,12.7
72.5,119,5,0.01,953579,12.2
72.2,121,5,2.14,941681,11.9
71.9,123,5,0.01,9295784,11.8
71.6,125,5,1.98,917382,11.7
71.1,13,5,1.98,954332,11.7
78,132,6,2.1,8947243,11.6
73,141,6,1.18,87634,11.6
73,14,6,1.02,85813,11.6
69.2,154,6,0.85,848455,10.7
68.4,162,6,0.73,839185,11.2
68.4,154,6,0.62,8365,11
67.8,154,7,0.55,82341,10.8
67.8,146,7,0.55,817195,10.6
67.5,151,8,0.51,81112,10.4
66.6,16,9,0.65,8486,10.1
76.1,147,0,,,12.6
75.4,16,0,9.45,,12.6
74.8,172,0,9.42,,12.6
74.9,167,0,9.5,,12.6
75,162,0,9.34,,12.6
75,161,0,9.19,,12.6
74.6,168,0,9.29,,12.6
74.5,167,0,10.15,,12.6
74.4,167,0,10.75,,12.5
74.2,171,0,11.07,,12.4
74.1,172,0,10.49,,12.4
73.8,174,0,10.1,,12.3
73.2,189,0,10.68,,12.2
73.1,19,0,10.85,,12.1
72.9,189,0,11.64,,12.1
72.6,192,0,12.15,,12
76.9,69,0,,,14.5
76.8,7,0,1.57,,14.5
76.7,7,0,1.65,,14.5
76.5,71,0,1.7,,14.5
76.1,76,0,1.66,,14.4
76.1,73,0,1.93,,14.4
76,74,0,1.95,,14.4
75.8,76,0,2,,14.4
75.6,77,0,2,,14.4
75.5,79,0,2.1,,14.2
75.3,81,0,2.05,,14
75.2,83,0,2.16,,13.9
75,85,0,2.16,,13.7
74.9,87,0,1.99,,13.5
74.7,9,0,1.95,,13.3
74.5,92,0,2.15,,13.2
71.8,129,92,,1612886,10.2
71.4,132,98,0.01,15945279,10
71,135,104,0.01,157571292,10
77,137,111,0.01,15572753,9.9
73,14,118,0.01,153911916,9.4
69.9,142,126,0.01,15214912,8.9
69.5,144,135,0.01,1545478,8.4
69.1,147,144,0.01,14885814,8.6
68.6,151,154,0.01,147139191,8.6
68.2,152,164,0.01,1453684,8.4
67.8,155,174,0.01,14343111,8.2
67.3,158,185,0.01,14137489,8.1
66.8,161,196,0.01,139191,7.9
66.3,164,207,0.01,1366667,7.7
65.8,168,219,0.01,1341716,7.5
65.3,173,231,0.01,131581243,7.3
75.5,98,0,,,15.3
75.4,1,0,8.82,,15.3
75.2,11,0,8.74,,15.3
75.1,12,0,8.61,,15.3
74.9,14,0,8.51,,15.5
74.7,16,0,8.41,,15.8
74.6,19,0,8.46,,15.5
74.4,111,0,8.95,,15.3
74.2,113,0,8.47,,15
74.1,115,0,8.39,,14.8
73.9,117,0,8.01,,14.6
73.8,119,0,7.68,,14.4
73.7,121,0,7.65,,14.2
73.5,123,0,7.59,,14
73.4,125,0,7.38,,14
73.3,127,0,7.43,,14
72.3,196,0,,9489616,15.6
72,199,0,13.94,9474511,15.7
71.7,23,0,14.66,9465997,15.7
71.9,194,0,16.35,9464495,15.6
72,232,0,17.31,9473172,15.5
73,222,0,14.44,949583,15.5
70,226,0,14.09,956765,15.4
70,224,1,14.67,9527985,15.1
69.8,226,1,14.22,956953,14.9
68.9,243,1,12.6,964924,14.6
68.1,252,1,11.01,9663915,14.4
68.2,247,1,12.05,973146,14.1
67.7,253,1,11.17,9796749,13.9
67.2,262,1,12.23,9865548,13.6
67.7,254,1,10.74,9928549,13.3
68,247,1,12.98,997961,13.1
81.1,74,0,,11274196,16.6
89,76,0,12.6,112957,16.3
87,77,0,11.77,11182817,16.3
83,78,0,10.08,11128246,16.2
83,8,0,10.11,1147744,16.1
80,81,0,10.22,1895586,15.9
79.8,85,0,10.05,1796493,15.8
79.5,87,0,10.47,179973,15.8
79.5,86,0,10.25,16257,15.8
79.4,85,0,10.98,1547958,15.7
78.9,89,0,12.27,1478617,15.7
78.8,91,1,12.05,1421137,18.8
78.3,95,0,11.28,1376133,18.6
78,99,1,11.29,1332785,18.8
78,1,1,11.01,128657,18.2
77.6,11,1,11.21,125125,18
71,175,0,,359288,12.8
70,177,0,6.58,351694,12.8
69.8,18,0,6.56,344181,12.9
69.4,189,0,6.66,33671,12.5
69.4,188,0,6.64,329192,12.4
69.5,186,0,6.76,32168,12.4
69.5,184,0,6.85,313929,12.7
69.6,181,0,7.22,36165,12.8
69.6,181,0,7.24,29847,12.8
69.4,184,0,6.48,29747,12.3
69,191,0,6.25,283277,12.8
68.7,197,0,6.2,27689,12.5
68.4,21,0,5.67,26913,12.2
68.5,199,0,4.99,26226,11.9
68.2,21,0,4.9,254984,11.8
68.3,196,0,4.79,247315,11.7
60,249,25,,1575952,10.7
59.7,252,25,0.01,1286712,10.7
59.5,251,25,0.01,14451,10.3
59.3,251,25,0.01,972916,10
59.1,251,25,1.4,94682,9.8
58.7,254,25,1.33,9199259,9.5
58.4,259,25,1.16,894476,9.3
57.6,278,25,1.28,8696916,9.1
57.1,283,25,1.12,8454791,8.9
56.8,284,25,1.19,8216896,8.7
56.5,285,25,1.13,7982225,8.5
56.1,285,25,1.15,7754,8.1
55.8,285,25,1.35,752555,7.7
55.6,283,25,1.23,7295394,7.3
55.5,281,25,1.29,776733,6.6
55.4,279,25,1.34,6865951,6.4
69.8,211,0,,787386,12.5
69.4,216,0,0.01,776448,12.5
69.1,219,0,0.01,764961,12.6
68.7,223,0,0.01,752967,12.3
68.3,225,0,0.23,7451,11.9
67.9,228,1,0.28,727641,11.4
67.4,232,1,0.17,714458,10.9
67,234,1,0.21,795,10.5
66.5,238,1,0.16,686958,10.1
65.8,245,1,0.29,672228,9.6
65,254,1,0.73,656639,9.2
64.2,263,1,0.96,64282,8.8
63.3,273,1,0.52,623434,8.4
62.5,282,1,0.29,66399,8
61.7,29,1,0.14,5896,7.6
62,312,1,0.17,573416,7.3
77,186,8,,,13.8
74,189,8,3.62,,13.8
71,192,8,3.78,,13.8
69.8,194,8,3.89,,13.8
69.3,198,9,3.93,,13.8
68.7,22,9,3.95,,13.8
68,27,10,3.87,,13.8
67.4,211,10,3.77,,14
66.8,216,11,3.47,,14.1
66.2,219,11,3.23,,14.3
65.7,222,12,2.86,,14.4
65.1,226,12,2.66,,14.6
64.5,23,13,2.37,,14.4
63.9,234,14,2.26,,14
63.3,238,14,2.2,,13.7
62.6,243,15,2.32,,13.3
77.4,88,0,,3535961,14.2
77.2,89,0,4.03,35662,14.2
77,9,0,4.12,364999,14.2
76.8,92,0,4.61,36482,13.9
76.9,92,0,4.64,3688865,13.4
76.4,94,0,4.54,372284,13.3
76.1,97,0,4.75,3746561,13.3
76,98,0,5.13,3763599,13.1
75.4,16,0,5.16,3774,12.9
75.7,1,0,4.82,3779468,12.7
75,12,0,4.56,378153,12.5
75.5,99,0,4.25,3781287,12.3
75.2,12,0,4.14,3779247,12.1
75.4,11,0,3.84,377587,11.9
74.9,113,0,3.85,3771284,11.6
74.6,116,0,3.64,376676,0
65.7,256,2,,229197,12.6
65.1,268,2,0.01,2168573,12.6
64.2,286,2,0.01,212857,12.6
63.4,3,2,0.01,289315,12.5
62.2,325,2,5.76,251339,12.4
61.1,349,2,5.99,214866,12.3
59.2,393,2,5.01,1979882,12.2
57.5,427,2,6.56,1946351,12.1
56.9,436,2,6.21,1914414,12.1
54.8,491,2,6.45,1884238,11.9
51.7,566,2,6.37,1855852,11.9
48.1,652,2,4.9,182933,11.8
46.4,693,2,5.51,184339,11.8
46,699,2,6.41,1779953,11.9
46.7,679,2,5.48,1754935,11.8
47.8,647,2,5.37,172834,11.7
75,142,42,,2596218,15.2
74.8,144,44,7.32,24213133,15.2
74.7,146,46,7.24,2248632,14.2
74.5,148,49,7.55,256983,14.2
74.1,152,51,7.58,198686688,14
73.8,154,54,7.52,196796269,13.8
73.6,157,57,7.33,194895996,13.8
73.4,158,61,7.21,19297929,13.3
73.3,159,65,7.19,19126637,13.5
73,161,70,7.1,18912412,13.8
72.7,163,75,6.97,186917361,13.8
72,17,81,6.85,184738458,14
71.8,172,88,6.95,182482149,14.8
71.4,176,95,7,1815121,14.6
71,179,103,7.13,1777567,14.3
75,183,111,7.26,175287587,14.1
77.7,78,0,,,14.9
77.6,8,0,0.01,,15
77.1,84,0,0.01,,14.9
78.3,79,0,0.01,,14.4
77.4,79,0,0.97,,14.1
76.9,79,0,0.88,,14.2
76.8,88,0,0.25,,14.1
77.2,84,0,0.67,,14.2
76,1,0,0.85,,14.3
76.3,93,0,0.67,,14.3
76.2,92,0,0.16,,14.1
76.4,89,0,0.11,,13.7
76,89,0,0.12,,13.4
74.8,95,0,0.13,,13.3
74.7,19,0,0.47,,13.4
74.4,16,0,0.37,,13.4
74.5,137,0,,7177991,15
74.3,138,1,12.03,7223938,14.8
74.1,14,1,12.06,7265115,14.4
73.9,139,1,10.99,735888,14.3
73.7,144,1,10.67,7348328,14.2
73.4,147,1,10.8,7395599,13.9
73.2,152,1,10.93,7444443,13.8
72.9,155,1,10.98,7492561,13.8
72.6,157,1,10.89,7545338,13.5
72.2,161,1,10.39,76122,13.5
72.1,16,1,10.48,7658972,13.5
72.2,157,1,10.96,771686,13.3
72,155,1,11.19,7775327,12.9
71.8,157,1,10.2,7837161,12.9
71.6,16,1,10.72,89142,12.9
71.1,163,1,9.69,817172,12.9
59.9,26,38,,1811624,7.7
59.3,268,39,0.01,17585977,7.7
59,27,40,4.64,1772723,7.5
58.6,271,41,4.75,16571216,7.2
58.1,275,42,4.51,168194,6.7
57.5,279,43,4.55,1565217,6.3
56.9,283,44,4.55,1514199,5.9
56.1,288,45,4.5,14689726,5.4
55.3,293,46,4.58,1425221,4.9
54.3,32,47,4.73,13829177,4.7
53.3,313,48,4.88,1342193,4.3
52.4,323,49,4.54,133569,3.9
51.6,332,49,4.58,12654621,3.8
51,338,49,4.53,122931,3.6
56,344,48,4.56,11944587,3.5
51,348,48,3.71,1167942,3.4
59.6,288,21,,119927,10.6
59.1,297,22,0.01,989179,10.6
58.6,33,22,0.01,96186,10.5
58,312,22,0.01,931971,10.3
57.4,321,22,4.16,94358,9.9
56.8,33,23,4.16,876693,9.3
56.2,338,23,4.05,848931,8.6
55.3,35,23,4.33,8212264,7.9
54.8,355,24,4.54,7939573,7.2
54.1,361,24,4.5,7675338,5.9
53.4,369,24,5.54,7423289,5.6
52.6,378,24,5.72,7182451,5.2
51.9,387,24,5.84,6953113,4.7
51.5,387,24,5.98,6741569,4.4
51.3,385,25,6.09,6555829,4.5
58,386,25,6.61,6476,4.5
53.3,397,57,,,
52.8,47,58,0.01,,
52.3,412,59,3.15,,
52,415,59,3.24,,
51.7,419,60,3.13,,
51.5,417,60,3.15,,
51,426,60,2.92,,
54,437,60,2.69,,
49.9,443,61,2.58,,
49.4,452,62,2.65,,
48.7,466,63,3.11,,
48.2,472,64,3.08,,
48,473,64,3.12,,
47.7,473,65,3.13,,
47.8,467,65,3.15,,
47.9,461,67,3.45,,
73.3,114,0,,532913,13.5
73,117,0,0.01,526437,13.5
72.8,12,0,0.01,5216,13.6
72.7,121,0,0.01,513979,13.2
72.6,122,0,5.07,5867,13.1
72.5,123,0,4.75,52384,12.7
72.4,124,0,4.45,496963,12.4
72.4,124,0,4.16,491723,12.2
72.3,126,0,5.28,486438,11.9
72.1,129,0,4.25,48795,11.9
71.8,134,0,4.26,474567,11.2
71.4,14,0,4.19,467664,11.1
71.1,144,0,4.16,46147,11.3
77,148,0,3.82,45216,11.3
73,152,0,3.81,443716,11
69.9,155,0,3.49,43579,11.3
68.7,174,10,,15517635,10.9
68.3,179,11,0.01,152779,10.9
67.8,183,11,0.01,1522692,10.8
67.4,186,12,0.01,14776866,10.7
67,19,13,2.12,14537886,10.7
66.6,192,14,2.2,143874,10.6
66.1,195,15,2.13,14928,10.5
65.6,199,16,2.24,138859,10.5
65,24,16,2.08,13676693,10.3
64.1,216,17,2.03,13474489,10.1
62.9,234,18,1.99,132721,10
61.5,253,19,1.38,1363377,9.7
63,268,21,1.44,12853124,9.3
59.3,273,23,1.43,12634729,8.2
58.5,273,25,1.71,1242473,7.6
57.7,274,27,1.51,12152354,7.2
57.3,357,45,,22834522,10.4
56.7,366,47,0.01,2223994,10.4
56.4,364,48,0.01,21655715,10.4
55.9,369,50,0.01,2182383,10.4
55.6,371,51,6.19,252447,10
55.3,37,53,6.15,1997495,9.7
54.8,373,54,5.89,19432541,9.2
54.2,382,56,5.9,18978,8.8
53.6,395,57,5.44,18395389,8
53.3,394,58,5.22,17899562,8.2
52.8,4,58,5.03,1742795,8.3
52.1,412,59,4.71,1695981,8.2
51.8,412,60,4.64,16513822,8.1
51.6,47,60,4.58,1684886,8.4
51.5,41,61,4.43,15671927,7.1
51.4,394,62,3.91,15274234,6.9
82.2,64,2,,3584861,16.3
82,65,2,8.1,35544564,15.9
81.8,67,2,8.2,35155451,15.9
81.6,68,2,8.3,3475545,15.9
81.5,68,2,8.2,3434278,15.9
81.2,7,2,8.4,345274,15.9
81,72,2,8.4,33628571,15.9
87,74,2,8.3,33245773,15.8
85,74,2,8.3,32887928,15.8
85,75,2,8.2,325755,15.8
81,76,2,8,32312,15.8
80,77,2,7.8,31995,15.8
79.7,78,2,7.7,31676,15.8
79.5,79,2,7.7,31362,15.8
79.4,8,2,7.6,31819,15.8
79.1,82,2,7.6,37697,15.9
52.5,397,15,,45461,7.1
58,437,15,0.01,4515392,7.1
49.9,451,16,0.01,4499653,7.1
53,439,16,0.01,449416,7.1
49.8,443,16,1.66,4476153,6.8
49.2,446,17,1.67,4448525,6.6
48.6,453,17,1.56,44423,6.4
47.6,477,17,1.52,4345386,6.3
46.8,495,17,1.5,42758,6.2
46.3,56,17,1.54,421758,6
45.9,511,17,1.5,412791,5.9
45.7,512,17,1.5,45536,5.7
45.7,51,17,1.49,3981665,5.6
45.6,58,17,1.47,397612,5.4
45.6,54,17,1.52,383223,5.3
46,49,16,1.51,3754986,5.2
53.1,356,46,,149413,7.3
52.6,362,46,0.01,13569438,7.3
52.2,366,46,0.64,13133589,7.3
51.8,367,46,0.62,1275135,7.3
51.6,365,46,0.56,12288651,6.7
51.2,364,46,0.5,1188722,6.7
57,37,46,0.47,1152786,6.3
49.6,394,46,0.45,11133861,6
49.4,394,46,0.42,177578,5.7
48.5,414,45,0.41,1421597,5.5
48.6,46,45,0.42,1679,5.6
48.5,45,44,0.34,97143,5.6
48.4,43,44,0.42,935321,5.4
48.1,43,43,0.36,91689,5.1
48,4,42,0.3,866312,4.9
47.6,44,41,0.25,8342559,4.7
85,82,2,,17762681,16.3
83,83,2,7.16,17613798,16.2
81,84,2,7.2,17462982,15.6
79.9,84,2,6.76,1739746,15.5
79.8,86,2,7.26,17153357,15.4
79.1,89,2,7.93,16993354,15.2
79.3,91,2,7.67,16829442,15.3
79.6,88,2,7.31,16661942,15.2
78.9,9,2,7.39,16491687,14.8
78.9,91,2,7.33,16319792,14.9
78.4,93,2,7.57,1614764,14.6
78,97,2,6.32,15973778,14.3
77.9,1,2,6.37,15799542,14
77.8,11,2,6.06,15623635,13.9
77.3,16,2,6.1,15444969,13.7
77.3,13,2,6.24,15262754,13.5
76.1,85,157,,137122,13.5
75.8,86,171,5.78,136427,13.1
75.6,88,185,5.79,135738,12.7
75.4,89,201,5.74,135695,12.4
75.2,91,215,5.63,134413,12.8
75,92,231,5.75,133775,12.5
74.9,93,248,4.88,133126,12.2
74.5,97,266,4.27,1324655,11.9
74.4,96,285,3.88,1317885,11.4
74.2,98,307,3.28,13112,11
73.9,99,332,2.92,13372,10.6
73.5,11,360,3.04,129675,10.2
73.1,13,391,2.96,12884,9.9
72.7,16,422,2.91,1284,9.7
72.2,11,457,2.84,127185,9.6
71.7,115,490,3.06,1262645,9.5
74.8,143,10,,48228697,13.6
74.6,144,11,4.38,47791911,13.6
74.4,145,11,4.41,47342981,13.3
74.3,143,11,4.44,46881475,13.2
74.2,144,12,4.37,4646646,13
73.6,15,12,4.28,4591897,12.8
73.6,15,13,4.34,45416181,12.4
73.5,146,14,4.45,4491544,12.2
73.5,144,14,4.66,44374572,11.9
73.1,147,15,4.53,43835722,11.5
73.1,144,15,4.38,43285634,11.1
72.8,148,16,4.26,42724163,11.3
72.4,15,16,4.25,42152151,11.6
71.8,163,17,4.45,41572491,11.5
71.5,165,17,4.43,498899,11.4
71.4,167,18,4.66,443958,11.3
63.5,227,1,,777424,11.1
63.2,23,1,0.01,759385,11.1
62.9,233,1,0.01,7415,10.9
62.5,237,2,0.01,723868,10.8
62.2,241,2,0.12,76569,10.6
61.8,246,2,0.15,689692,10.5
61.3,251,2,0.17,673252,10.3
61,255,2,0.12,657229,10.2
66,259,2,0.16,64162,10
63,262,2,0.25,626425,9.9
60,266,2,0.24,611627,9.7
59.8,269,2,0.27,597228,9.5
59.6,271,2,0.26,583211,9.2
59.5,271,2,0.08,569479,8.8
59.5,272,1,0.08,555888,8.5
59.5,272,1,0.09,542357,8.2
64.7,267,7,,,11.1
64.2,275,7,0.01,,11.1
63.9,274,7,0.01,,11.1
63.7,273,7,0.01,,10.2
62.9,285,7,3.82,,10.7
62,298,7,3.53,,10.5
68,314,7,3.47,,10.3
59.4,338,8,2.58,,10
58.2,354,8,2.75,,9.8
56.9,368,8,2.25,,9.6
55.3,394,8,2.03,,9.4
54.1,48,9,2.58,,9.2
53.2,417,9,2.45,,9.4
52.6,424,9,2.55,,9.5
52.7,419,9,2.3,,9.7
52.9,416,9,2.26,,9.8
,,0,0.01,,
79.6,95,1,,487852,14.2
79.5,96,1,3.45,4757575,13.9
79.4,96,1,3.42,47641,13.7
79.2,97,1,3.34,4654122,13.6
79,98,1,3.41,46474,13.4
78.1,16,1,3.58,454528,13.3
79.2,96,1,4.07,4488263,13.1
78.9,99,1,4.22,442958,12.9
78.9,93,1,4.2,4369469,12.8
78,16,1,4.15,438794,12.6
78.6,97,1,4.1,4247841,12.4
77.7,12,1,4.09,418738,12.2
78,1,1,4.04,4125971,12.1
78.3,99,1,4.17,46324,11.9
77.5,1,1,4.29,3996798,11.7
77.6,98,1,4.34,3925443,11.6
78,95,0,,42364,15.3
77.8,97,0,12.14,4238389,15.1
77.7,97,0,12.39,4255689,14.9
77.1,14,0,11.49,4267558,14.6
77,14,0,12.19,428622,14.5
76.6,16,0,12.1,4417781,14.2
76.3,19,0,12.21,442978,14.2
76,116,0,12.06,443458,14.3
75.8,114,0,12.56,4436,14.3
75.9,113,0,11.83,444,13.9
75.2,116,0,11.59,4442,13.6
75.4,114,0,13.11,4439,13.3
74.7,122,0,13.78,444,12.9
74.8,124,0,13.39,444,12.6
74.9,126,0,13.15,444,12.3
74.7,127,0,12.73,4426,12.2
79.1,92,1,,,13.9
79,93,1,4.37,,14
78.7,96,1,4.18,,14.7
78.7,96,1,4.16,,15.7
78.8,92,1,4.14,,16.5
78,98,1,4.13,,17.6
78.1,11,1,4.01,,17.7
77.9,12,1,4.26,,17.1
78.1,14,1,4.13,,16
78,14,1,4.17,,14.7
77.2,19,1,4.48,,14.2
77.3,17,1,4.38,,13.2
77.4,18,1,4.39,,12.9
77.7,19,1,4.1,,12.5
76.7,115,1,4.04,,12.3
76.9,115,1,3.92,,12.1
85,52,0,,116985,14.3
83,53,0,0.01,115239,14
81,54,0,9.04,1143896,13.8
80,56,0,10.55,113562,13.8
79.7,57,0,10.69,1124835,13.8
79.5,59,0,11.32,111267,14.6
79.3,6,0,10.8,19876,14.1
79.1,62,0,12.01,181563,13.7
78.9,63,0,11.56,163712,13.5
78.8,64,0,11.47,14559,13.4
78.7,65,0,11.41,127658,13.5
78.6,65,0,13.03,1141,13.4
78.5,66,0,10.62,993563,13
78.4,68,0,11.68,976966,12.5
78.2,69,0,10.16,96282,12.4
78.1,7,0,9.56,943286,12.5
78.8,86,0,,,
78.6,88,0,12.68,,
78.2,9,0,12.45,,
78,93,0,12.71,,
77.8,97,0,12.43,,
77.5,99,0,12.69,,
77.1,12,0,13.23,,
77,16,0,13.25,,
76.8,17,0,13.43,,
76.5,19,0,13.03,,
75.9,114,0,13.19,,
75.8,116,0,13.24,,
75.2,122,0,13.01,,
75.3,12,0,13.47,,
75.1,123,0,13.36,,
74.7,126,0,13.22,,
76,139,6,,,
73,142,6,0.01,,
71,146,6,3.35,,
69.8,149,7,3.61,,
69.4,153,8,3.39,,
69,157,8,3.12,,
68.7,161,9,3.35,,
68.6,164,9,3.16,,
68.5,166,9,3.13,,
68.5,165,10,3.28,,
68.5,165,10,3.21,,
68.4,165,11,3.13,,
68.1,165,12,3.13,,
67.6,167,14,3.08,,
66.6,177,16,2.53,,
65.4,192,18,3.52,,
59.8,258,236,,,
59.3,266,237,0.01,,
58.8,272,238,0.01,,
58.3,277,239,0.01,,
57.9,278,239,1.82,,
57.4,283,239,1.81,,
56.7,292,238,2.13,,
56.3,295,237,2.09,,
55.7,299,236,1.52,,
55,36,235,1.53,,
54.3,314,233,1.43,,
53.5,323,232,1.44,,
52.8,332,231,1.83,,
52.1,341,229,1.85,,
51.8,34,227,1.9,,
51.3,346,226,1.98,,
