Life expectancy ,Adult Mortality,infant deaths,Alcohol,Population,Education
86,71,0,,5683483,19.2
84,73,0,9.64,5643475,19.2
81,75,0,9.5,5614932,18.7
80,76,0,9.26,5591572,18.4
79.7,79,0,10.47,557572,16.9
79.2,84,0,10.28,5547683,16.8
78.9,86,0,10.08,552395,16.8
78.8,88,0,10.7,5493621,16.8
78.4,93,0,10.99,5461438,16.7
78.1,93,0,11.02,5437272,16.9
78.1,92,0,11.28,5419432,16.6
77.7,98,0,11.27,544523,16.5
77.3,11,0,11.54,539574,16.3
77,14,0,11.34,5375931,16.6
77,12,0,11.56,5358783,16.2
76.9,12,0,11.69,5339616,16.5
63.5,241,1,,927414,6.3
63,252,1,0.38,912164,6.3
62.7,256,1,0.53,896688,6.3
62.2,263,1,0.52,881185,6.3
61.8,268,1,0.39,865937,5.9
61.3,273,1,0.44,851146,5.5
69,279,1,0.49,83684,5.3
62,289,1,0.49,822934,5
59.8,296,1,0.45,8942,4.5
59.1,39,2,1.02,79628,4.3
58.6,318,2,1.23,783254,4
58.1,326,2,1.18,77752,3.7
58,325,2,1.02,758615,3.5
57.9,322,2,1.03,746221,3.3
57.7,323,2,0.95,732711,2.9
57.4,325,2,1.34,717584,2.9
,,0,0.01,,12.7
73.9,152,6,,1528394,13.2
73.6,154,6,5.92,145844,13.2
73.4,157,6,5.93,1281296,13.2
72.1,174,6,5.93,115495,13.1
73.1,16,6,5.91,12795,13
72.7,166,6,6.02,9897985,12.9
73.6,157,6,6.05,9767758,12.9
73.3,161,6,6.12,963652,12.8
72.9,164,6,6.05,954353,12.7
72.3,178,7,6.2,9371338,12.6
69.7,28,7,5.71,9237566,12.6
69.3,214,7,5.16,912998,12.5
73,22,7,6.32,896776,12.4
71.4,189,7,6.43,8832285,12.3
71.2,188,7,6.13,8697126,12.3
72,176,7,6.58,8562622,12.2
76.2,118,6,,16144368,14
76,121,6,3.82,1593112,14
76,121,6,3.77,15661547,13.4
75.5,127,7,3.92,15419666,13.3
75.3,131,7,3.99,15177355,13.2
75,134,7,3.95,1493469,13.1
75.1,137,7,3.87,14691275,13.1
74.6,139,7,3.76,14447562,13
74.7,14,7,3.63,1425453,12.9
74.4,144,8,3.52,1396748,12.8
74.2,151,8,3.54,13735233,12.8
74.4,148,8,3.65,1359647,12.7
74.4,151,8,3.69,1328961,12.6
73.6,157,8,3.88,13726,12.5
73.4,158,9,4.13,12852755,12.4
72.8,163,9,3.99,12628596,12.4
79,159,51,,,13.1
78,161,53,0.21,,13.1
79,159,54,0.21,,12.8
72,165,54,0.23,,12.4
74,168,55,0.22,,12.4
70,173,54,0.22,,12.2
69.9,174,54,0.21,,12
69.8,172,54,0.24,,11.9
69.7,171,55,0.21,,11.7
69.5,175,55,0.18,,11.5
69.4,174,56,0.16,,11.4
69,176,57,0.16,,11.2
68.6,178,59,0.15,,11.3
68.7,177,61,0.15,,11.2
68.6,177,63,0.14,,11.1
68.8,171,65,0.14,,11
73.5,178,2,,6312478,13.2
73.3,181,2,2.52,6281189,13.2
73,184,2,2.42,625777,13.2
73,181,2,2.48,6221246,13.2
72,197,2,2.37,619256,13
72,191,2,2.36,6164626,12.9
71.4,23,2,2.55,6137276,12.8
71.7,194,2,2.68,61131,13.4
71.2,23,2,2.83,683475,12.9
75,211,3,2.77,656478,12.9
71,213,3,2.77,628961,12.7
70,215,3,2.9,6775,12.4
69.9,29,3,3.1,5971535,12
73,24,3,2.97,59433,11.8
68.9,219,4,2.88,595962,11.6
69,218,4,2.79,5867626,11.3
58.2,32,3,,1175389,9.2
57.9,32,3,0.01,1129424,9.2
57.4,327,3,10.72,183746,9.2
56.7,337,3,11.89,138593,9.2
56.2,344,3,10.99,99429,9.2
56.1,339,3,9.93,95114,9.2
55.7,34,3,7.97,99111,9.1
55.4,338,3,8.34,868418,9.1
55,339,3,6.86,829327,9
54.8,337,3,7.28,792217,9
54.4,337,3,7.19,757317,8.7
54.1,336,3,6.28,724817,8.5
53.8,334,3,7.13,694611,8.4
53.5,334,3,6.01,66647,8.2
53.1,334,3,5.07,639762,8
52.7,336,3,4.46,614323,0
64.7,255,5,,,5
64.4,261,5,0.01,,5
64,266,6,0.01,,5
63.6,274,6,0.01,,5
62.9,286,6,0.62,447469,5
62.1,298,6,0.61,43984,5.1
61.4,311,6,0.63,431334,5.2
67,322,6,0.49,4232636,5.2
62,329,6,1.23,4153332,5.3
59.7,336,7,0.97,466648,5.3
59.4,34,7,1.07,39697,5.4
59.1,342,7,0.64,3858623,5
58.8,343,7,0.56,3738265,4.7
58.5,343,7,0.83,3614639,4.4
58.1,345,7,0.61,3497124,4.3
45.3,593,7,0.83,339281,3.9
77.6,119,0,,131547,16.5
77.3,122,0,0.01,1314545,16.5
76.9,127,0,0.01,1317997,16.5
76.3,135,0,0.01,1322696,16.5
76.1,138,0,0.01,1327439,16.4
75.6,137,0,14.97,1331475,16.2
74.9,156,0,15.04,1334515,16.1
74.2,167,0,16.99,13379,16.1
73,189,0,17.87,13468,16.1
73,188,0,16.58,134681,16.1
72.8,189,0,15.52,1354775,15.9
72.3,195,0,15.07,136255,15.7
71.9,199,0,11.64,13772,15.6
71.2,211,0,11.48,137935,15.4
78,225,0,0.01,1388115,15
78,218,0,0.01,1396985,14.4
64.8,225,136,,9987333,8.4
64.2,234,140,0.01,97366774,8.4
63.7,237,145,1.86,94887724,8.4
63.3,241,150,1.84,92444183,8.4
62.6,249,156,1.32,946756,8.2
61.8,261,162,1.34,877267,8.1
68,274,169,1.17,85416253,8.1
59.8,289,177,1.13,83184892,7.6
58.5,39,186,1.06,8149,7.1
57.2,328,196,1.22,7885689,6.6
56,343,206,0.99,7672783,5.8
55,354,217,0.86,7462445,5.4
54,363,228,0.79,72545144,5.2
53.2,369,237,0.8,7497192,4.9
52.5,372,246,0.85,68492257,4.3
51.2,391,253,0.88,66537331,3.9
69.9,188,0,,892149,15.3
69.7,19,0,0.01,88586,15.2
69.6,192,0,0.01,879715,15
69.4,195,0,0.01,873596,14.9
69.2,197,0,0.01,86786,14.7
69.1,2,0,2.25,85995,14.6
68.9,23,0,2.31,851967,14.5
68.7,26,0,1.95,84334,14.3
68.6,29,0,2.09,834812,14.2
68.5,211,0,2.06,827411,14
68.3,214,0,2.02,821817,13.9
68.1,218,0,1.63,818354,13.4
68,22,0,1.76,816628,13.3
67.9,22,0,1.85,815691,13.3
67.8,221,0,1.93,814218,13.2
67.7,221,0,2.05,811223,13.1
81.1,76,0,,5479531,17
89,78,0,8.8,5461512,17
87,79,0,8.97,5438972,17
84,82,0,9.24,5413971,17
83,86,0,9.81,5388272,16.9
79.9,89,0,9.72,5363352,16.8
79.7,91,0,9.96,5338871,17
79.6,94,0,10.26,5313399,17.1
79.3,96,0,10.45,528872,17.2
79.2,96,0,10.15,5266268,17.2
78.9,11,0,9.95,524696,17.1
78.7,12,0,9.89,5228172,18.3
78.4,98,0,9.31,521314,18.1
78.1,98,0,9.25,52598,18
78,1,0,8.94,51888,17.7
77.5,15,0,8.59,517629,17.3
82.4,78,2,,6662468,16.3
82.2,79,3,11.5,66331957,16.2
82,81,3,11.1,6599857,16.2
81.5,83,3,11.5,6565979,16.1
81.7,83,3,11.8,65342776,16.1
81.3,86,3,11.7,6527512,16
81.1,88,3,11.8,647744,16
89,88,3,11.9,6437499,16.1
89,89,3,12.2,6416229,16.1
86,92,3,12.4,63621376,16.1
81,93,3,12.2,63179356,15.5
82,94,3,13.18,6274897,15.5
79.3,99,3,13.49,62244884,15.4
79.2,11,3,13.78,6185267,15.5
79,13,3,13.89,61357431,15.6
78.8,13,3,13.63,6912498,15.7
66,229,2,,193175,12.6
65.5,237,2,0.01,1875713,12.6
64.6,255,2,8.86,1817271,12.5
63.5,276,2,8.3,1756817,12.5
62.8,289,2,8.9,169711,12.5
62.3,294,2,8.85,16421,12.5
61.7,31,2,8.64,1586754,12.4
61.6,298,2,8.75,1536411,12.4
61.6,291,2,9.02,1489193,12.4
61.4,288,2,8.01,1444844,12.4
65,37,2,7.72,143126,12.4
59.7,322,2,8.13,136425,12.3
59.7,32,2,6.47,1328146,12.3
59.7,315,2,8.34,129449,12.3
59.8,37,2,9.29,1262259,12.3
61,296,2,8.87,1231122,12.2
61.1,262,3,,,8.9
68,266,3,0.01,,8.9
66,266,3,0.01,,8.9
62,269,3,0.01,,8.8
59.8,277,3,3.41,,8.7
59.3,284,3,3.48,,8.8
59,286,3,2.99,,8.9
58.7,287,3,2.79,,8.6
58.5,288,3,2.64,,8.4
58.2,288,3,2.93,,8.1
57.7,294,3,2.26,,7.8
57.3,296,3,2.51,,7.6
57,297,3,2.47,,7.3
56.6,298,3,2.08,,7
56.3,3,3,2.25,,6.8
55.9,33,3,2.18,,6.5
74.4,129,1,,37171,13.9
74.5,125,1,6.13,3727,13.5
74.5,128,1,5.91,3776,13.5
74.2,13,1,7.71,3825,13.4
73.9,127,1,8.14,3875,13.3
73.8,132,1,7.24,3926,13.3
73.2,133,1,6.66,3978,12.8
73.9,128,1,7.17,43,13.1
74.4,12,1,8.65,482,12.5
73.9,126,1,6.18,4136,12.6
73.9,128,1,4.7,419,12.2
72.3,134,1,3.74,4245,12
72.7,132,1,3.36,431,11.8
71.7,142,2,2.72,4357,11.8
73,121,2,2.76,43864,11.7
71.8,129,2,3.28,44183,11.4
81,68,2,,81686611,17.1
89,69,2,11.03,89825,17
86,71,2,10.94,864565,16.9
86,71,2,11.18,8425823,16.9
85,74,2,11.2,8274983,16.8
81,76,2,11.2,8177693,16.7
80,79,2,11.22,819237,16.7
79.9,8,2,11.36,821197,16.6
79.8,82,3,11.5,82266372,16.6
79.6,84,3,11.76,82376451,16.5
79.2,85,3,11.67,82469422,16.4
79.1,86,3,11.83,8251626,16.4
78.5,9,3,11.92,82534176,16.3
78.4,91,3,12.25,82488495,16.3
78.3,92,3,12.46,82349925,16.2
78,95,3,12.91,8221158,16.2
62.4,249,37,,27582821,11.4
62.1,253,37,0.01,26962563,11.7
61.9,254,38,0.01,26346251,11.5
61.6,257,39,0.01,2573349,11.2
61.2,263,40,1.64,25121796,10.9
69,267,40,1.69,2451214,10.5
66,271,41,1.76,2393831,10.4
63,275,41,1.78,2329864,9.8
59.9,28,41,1.25,227212,9.1
59.4,288,41,1.7,22113425,8.7
58.9,296,41,1.5,215429,8.1
58.3,34,41,1.46,2986536,7.7
57.9,38,41,1.53,2446782,7.9
57.6,31,42,1.6,19924522,7.6
57.4,39,42,1.49,1942165,8
57.2,38,43,1.6,18938762,7.7
81,72,0,,182883,17.2
88,73,0,7.53,1892413,17.2
86,74,0,7.46,1965211,17.1
84,76,0,8.2,114511,16.8
85,76,0,8.02,1114899,16.7
83,76,0,9,11121341,16.4
80,78,0,9.08,111717,16.2
79.9,77,0,9.51,1177841,15.9
79.4,8,0,9.67,1148473,16.4
79.7,77,0,9.42,112362,16.3
79.3,81,0,9.95,1987314,15.6
79.2,81,0,9.56,1955141,15.3
79.1,81,0,9.46,19287,15.2
79,81,1,8.09,19222,14.6
78.7,83,1,8.62,1862132,14.2
78.2,84,1,8.48,18588,13.9
73.6,142,0,,,15.8
73.5,143,0,8.42,,15.8
73.3,144,0,8.25,,15.8
73.1,146,0,8.07,,15.8
72.9,15,0,7.84,,15.8
72.6,154,0,7.91,,15.8
72.4,158,0,8.42,,15.6
72.1,162,0,8.92,,15.4
71.9,164,0,9.06,,15.3
71.7,167,0,9.06,,15.1
71.5,169,0,8.8,,14.9
73,187,0,8.43,,14.8
71.1,173,0,9.75,,14.6
79,176,0,10.71,,14.4
77,178,0,9.61,,14.3
74,182,0,9.4,,14.1
71.9,186,10,,16252429,10.7
71.7,187,10,1.88,15923559,10.7
71.4,189,11,1.93,15596214,10.7
71.3,189,11,2.02,1527156,10.6
71.1,193,11,2.16,14948919,10.5
77,196,12,2.14,1463417,10.5
76,198,12,2.14,1431628,10.4
79,19,13,2.21,146366,10.4
75,192,13,2.4,137286,10.1
69.7,24,14,2.38,133978,9.8
69.2,28,14,2.35,139628,9.6
69.6,21,15,2.4,12796925,9.3
69.4,24,15,2.45,125478,9
69.3,21,16,2.41,1228848,8.8
68.4,211,16,2.53,11924946,8.5
67.7,221,17,2.63,1165743,8.2
59,284,26,,1291533,8.8
58.1,299,27,0.01,118559,8.6
58.8,284,27,0.01,11536615,8.5
58.4,288,28,0.01,11281469,8.5
58.1,29,28,0.22,113517,8.4
57.8,291,29,0.2,179417,8.3
57.3,297,29,0.18,1556524,8.1
56.8,33,30,0.21,1323142,7.9
56.4,36,31,0.19,196727,7.6
55.6,317,31,0.16,9881428,7.1
54.7,327,32,0.21,9679745,6.6
54,334,33,0.34,949229,5.1
53.3,338,34,0.18,939848,5.9
52.9,337,35,0.21,9137345,5.5
52.5,336,36,0.17,8971139,5.1
52.5,328,37,0.17,888546,4.8
58.9,275,4,,177526,9.2
58.4,282,4,0.01,1725744,9.2
58.1,279,4,0.01,1681495,9.1
57.6,285,4,0.01,1638139,9.1
57.1,289,4,3.57,1596154,9
56.7,287,4,3.21,155588,8.9
56.3,288,4,2.55,1517448,8.9
55.6,297,5,2.64,148841,8.8
55,32,5,2.98,1445958,8.8
54.4,36,5,3.22,1412669,8.3
53.9,37,5,3.1,138838,8
53.5,38,5,2.58,135345,7.7
53,38,5,2.16,132122,7.4
52.8,35,5,2.47,1293523,7.1
52.5,32,5,2.55,1267512,6.7
52.1,3,5,2.84,1243229,6.4
66.2,215,0,,768514,10.3
66,217,0,7.64,763393,10.3
65.9,218,0,7.56,75881,10.3
65.8,22,0,7.57,75391,10.6
65.6,229,0,7.56,7491,10.3
65.9,221,0,7.52,746556,10.2
66.1,218,0,7.49,745693,10.5
66.3,218,1,7.32,746314,10.7
65.7,232,1,7.2,747869,11.2
65.2,24,1,7.04,74961,11.7
65,238,1,7.35,75946,11.4
65.1,237,1,7.84,751652,11.2
65.3,237,1,7.93,751857,11.1
65.3,244,1,7.73,751884,11
65.4,247,1,6.71,752263,10.9
65.4,246,1,6.63,75331,10.9
63.5,24,14,,171161,9.1
63.1,245,14,0.01,1572466,9.1
62.7,253,14,5.68,1431776,9.1
62.3,259,15,5.68,128921,8.9
62.3,259,15,5.68,114554,8.7
36.3,682,23,5.76,9999617,8.6
62.5,251,16,5.85,985287,8.5
62.1,259,16,5.95,97529,8.4
61.8,266,17,6.08,9556889,8.4
61.1,28,17,6.18,949457,8.3
65,29,17,5.57,926344,8.2
58.7,32,18,6.1,9119178,8.1
59.7,3,18,6.64,8976552,8.1
59.3,33,19,6.1,8834733,8
58.9,35,19,6.22,8692567,7.9
58.6,35,20,4.79,85492,7.8
74.6,147,3,,896829,11.2
74.5,149,3,2.87,889216,11.4
74.3,15,4,3.11,8657785,11.6
74.1,151,4,3.11,855646,11.6
73.9,153,4,3.1,83516,11.7
73.6,156,4,3.1,8194778,11.5
73.4,157,4,3.08,83521,11.3
73.2,159,4,3.14,7872658,11.1
73,16,5,3.16,777972,10.9
72.8,161,5,3.23,754146,10.8
72.5,163,5,3.23,737343,10.6
72.2,165,5,3.02,724153,10.4
71.9,166,6,3.04,733821,10.3
71.6,169,6,3.09,6863157,10.1
71.3,171,6,2.74,669361,9.9
71,174,6,2.61,6524283,9.8
75.8,134,0,,984328,15.6
75.6,137,0,0.01,9866468,15.8
75.5,139,0,10.88,989382,15.4
75,146,0,11.27,992362,15.4
74.8,15,0,11.51,9971727,15.4
74.5,156,0,10.78,123,15.3
74.2,162,0,11.46,12265,15.3
74.1,165,1,11.64,138188,15.3
73.5,176,1,12.55,15578,15.3
73.4,177,1,13.16,17137,15.2
72.9,182,1,12.94,18765,15
72.9,18,1,13.28,117146,15.3
72.5,184,1,13.24,1129552,14.9
72.5,184,1,13.29,115868,14.6
72.3,185,1,13.18,1187576,14.2
71.7,193,1,12.22,121971,13.9
82.7,49,0,,33815,19
82.5,49,0,7.45,327386,19
82.4,5,0,7.31,323764,19
82.5,5,0,7.81,32716,18.7
82.1,51,0,8.13,31914,18.6
81.8,53,0,8.25,31841,18.4
81.6,55,0,10.22,318499,18.4
81.4,58,0,8.49,317414,18.2
81.3,59,0,7.53,311566,18.2
81.1,61,0,7.2,33782,18.1
81,62,0,7.05,296734,17.9
88,65,0,6.79,29274,18.3
87,65,0,6.61,289521,17.6
84,7,0,6.61,287523,17.2
80,72,0,6.37,284968,17.1
79.7,74,0,6.17,28125,16.8
68.3,181,910,,1395398,11.6
68,184,957,3.07,1293859294,11.6
67.6,187,1000,3.11,127856227,11.5
67.3,19,1100,3.1,126365852,11.3
66.8,193,1100,3,124723629,10.8
66.4,196,1200,2.77,12398691,10.4
66,2,1300,2.5,121427132,10.5
65.5,23,1300,1.93,119714696,10.2
65.2,26,1400,1.59,1179681239,9.9
64.8,28,1500,1.37,1161977719,9.7
64.4,211,1500,1.27,1144118674,9.4
64,214,1600,1.2,1126135777,9.2
63.7,216,1700,1.19,11827848,8.6
63.3,219,1700,1.1,18987112,8.4
62.9,222,1800,1,171477855,8.3
62.5,224,1800,0.93,1535912,8.3
69.1,176,114,,258162113,12.9
68.9,179,119,0.09,255131116,12.9
68.7,181,124,0.09,25232263,12.9
68.5,183,129,0.08,248883232,12.6
68.3,185,134,0.08,24577511,12.3
68.1,187,138,0.08,242524123,12.1
67.9,189,143,0.08,23934478,11.7
67.7,189,149,0.07,236159276,11.7
67.5,19,154,0.06,232989141,11
67.3,191,159,0.06,22983822,10.9
67.2,19,163,0.06,22671273,11.1
65.3,213,174,0.06,223614649,11
66.9,189,173,0.05,22545214,10.8
66.7,189,177,0.05,2175859,10.6
66.5,188,182,0.06,2145652,10.6
66.3,188,187,0.06,21154429,10.7
75.5,83,18,,,14.8
75.4,83,19,0.01,,14.9
75.3,83,20,0.01,,15
75.1,85,21,0.01,,13.6
74.7,93,22,0.03,,13.1
74.1,16,22,0.03,,12.9
73.3,122,23,0.03,,12.8
72.7,135,24,0.02,,12.1
72.4,138,25,0.02,,11.8
72.2,139,26,0.02,,11.4
72,139,27,0.01,,11.4
71.8,139,28,0.01,,11.8
75,154,29,0.01,,11.8
71.2,142,31,0.01,,11.9
78,146,33,0.01,,11.6
73,15,35,0.01,,11.6
68.9,182,32,,36115649,10.1
67.9,199,32,0.01,3568,10.1
69.5,17,32,0.01,33883145,10.3
76,147,32,0.01,32776571,10.5
77,144,32,0.17,3172753,10.4
76,145,32,0.19,376271,10.4
74,148,32,0.2,29894652,10.3
69.3,167,32,0.17,29111417,10.3
65.9,227,31,0.14,2839433,10.2
64.7,249,31,0.03,27697912,10.2
66.8,29,31,0.18,278426,10.1
67.2,21,30,0.32,2631669,9.8
66.5,213,30,0.07,25627626,9.4
74,14,30,0.15,24939299,9.1
72,142,30,0.17,24251649,8.7
70,144,30,0.2,23565413,8.6
81.4,64,0,,4676835,18.6
81.2,66,0,10.75,4617225,18.6
81,67,0,10.49,4598294,18.6
85,69,0,11.49,4586897,18.5
84,7,0,11.72,4576794,18.5
86,68,0,11.88,456155,18.2
79.7,77,0,11.41,4535375,17.9
79.8,75,0,12.66,4489544,17.9
79.5,75,0,13.59,4398942,17.6
79,78,0,13.44,4273591,17.6
78.7,78,0,13.31,4159914,17.5
78.3,82,0,13.32,47262,17.1
78,82,0,13.24,3996521,16.8
77.4,88,0,14.17,3931947,16.5
77,89,0,14.27,3866243,16.4
76.4,94,0,14.07,385174,16.2
82.5,58,0,,8381,16
82.2,6,1,2.62,82157,16
82.1,61,1,2.69,8595,15.9
81.8,6,1,2.78,7915,15.9
81.8,61,1,2.67,77658,15.8
81.7,61,1,2.63,76236,15.7
81.5,63,1,2.55,74856,15.6
81,65,1,2.47,7388,15.8
84,68,1,2.33,7181,15.7
84,68,1,2.23,7537,15.7
80,71,1,2.41,6931,15.8
81,69,1,2.23,689,15.9
79.7,71,1,2.32,66897,16
79.3,74,1,2.47,657,15.3
79.3,74,1,2.53,6439,15.1
78.9,76,1,2.53,6289,15.2
82.7,56,1,,673582,16.3
82.5,57,2,7.56,678914,16.3
82.3,58,2,7.35,6233948,16.5
82,6,2,7.49,59539717,16.6
82,6,2,6.98,59379449,16.4
81.8,6,2,6.95,59277417,16.4
81.6,61,2,7.25,5995365,16.3
81.5,61,2,7.96,58826731,16.3
81.3,63,2,8.37,5843831,16.1
81.2,65,2,8.44,58143979,16
88,66,2,8.65,57969484,15.8
89,66,2,8.98,57685327,15.6
79.9,72,2,9.3,5731323,15.4
80,72,2,9.25,57597,15.2
79.8,75,2,9.69,569741,14.9
79.4,77,3,9.78,5694218,14.8
76.2,125,1,,2871934,12.8
75.8,133,1,3.83,286287,12.8
75.6,136,1,3.79,285187,12.8
75.3,138,1,3.65,284992,12.8
75.2,139,1,3.58,2829493,12.8
75,138,1,3.55,281721,12.7
74.7,142,1,3.33,28482,12.7
74.5,145,1,3.51,279122,12.6
74.2,148,1,3.64,2775467,12.5
74,15,1,3.63,276279,12.5
73.5,161,1,3.59,2744673,12.4
73.3,165,1,3.67,2728777,11.1
73.1,166,1,3.48,2712511,11.9
73,167,1,3.76,2695446,11.7
72.7,171,1,3.89,267711,10.9
72.6,171,1,3.46,2656864,11.4
83.7,55,2,,127141,15.3
83.5,57,2,0.01,127276,15.3
83.5,56,2,7.55,127445,15.3
83.3,58,2,7.39,127629,15.3
82.5,64,3,7.39,127833,15.1
83,62,3,6.9,1287,15.1
83,64,3,7.09,12847,15
82.7,66,3,7.11,12863,15
82.6,67,3,7.29,1281,15
82.4,68,3,7.49,127854,14.9
82,69,3,7.99,127773,14.9
82.1,68,3,7.7,127761,14.8
81.9,7,3,7.83,127718,14.8
81.8,7,3,7.87,127445,14.7
81.5,72,4,8.03,127149,14.6
81.1,74,4,7.97,126843,14.5
74.1,112,4,,915932,13.1
74,113,4,0.41,88936,13.1
73.9,114,4,0.4,8413464,13.1
73.7,115,4,0.41,7992573,12.9
73.6,116,4,0.43,7574943,13.1
73.4,117,4,0.51,718239,13.2
73.3,118,4,0.59,6821116,13.6
73.1,119,4,0.61,6489822,13.6
73,12,4,0.6,6193191,13.6
72.8,121,4,0.59,5934232,13.7
72.4,127,4,0.55,5714111,13.8
72.5,125,4,0.54,5535595,13.5
72.3,127,4,0.54,5396774,13.2
72.1,129,4,0.54,5287488,13
71.9,131,4,0.55,5193482,12.7
71.7,133,4,0.49,51313,12.6
72,198,4,,17544126,15
69.9,22,5,6.29,17289224,15
69.5,28,5,6.48,1735275,15
69.1,214,6,6.82,16791425,14.7
68.5,224,7,6.63,165566,14.4
67.8,236,7,6.83,16321581,14.5
67.8,235,7,6.64,169271,14.6
66.6,258,8,7.6,15674,14.6
65.3,288,8,7.44,15484192,14.7
65,295,8,7.08,153884,14.3
64.6,294,8,6.94,1514729,13.9
64.7,287,8,6.55,1512985,13.5
64.4,282,8,6.58,149918,13.1
64.7,276,8,5.99,14858948,12.7
64.4,284,8,5.75,14858335,12.3
63.9,292,9,6,14883626,12.1
63.4,249,54,,47236259,11.1
62.9,255,56,0.01,462425,11.1
62.6,258,58,1.84,44826849,11.1
62.1,263,59,1.81,43646629,11.1
61.2,278,60,1.8,42486839,11.1
63,294,61,1.73,4135152,11.1
59.1,317,62,1.86,423724,10.7
57.9,339,64,1.71,39148416,10.4
56.8,356,66,1.97,388599,10.1
55.3,388,68,1.76,37525,9.7
54.1,412,70,1.82,3648288,9.6
53,432,72,1.43,3574931,8.9
52.4,437,74,1.49,3413852,8.2
52.1,437,76,1.66,332149,8.5
51.9,434,77,1.63,32321482,8.4
51.9,428,77,1.51,3145483,8.4
66.3,198,0,,11247,11.9
66.1,2,0,0.01,11458,11.9
65.8,22,0,0.01,18535,11.9
65.7,24,0,0.01,16613,11.9
65.5,26,0,0.53,14656,11.9
65.3,27,0,0.48,12652,11.9
65.2,28,0,0.54,1568,11.9
65.1,21,0,0.46,9844,11.6
65,211,0,0.68,96311,11.8
65,212,0,0.76,9426,12.1
64.9,213,0,0.6,92325,12.2
64.8,214,0,0.48,9542,12.4
64.7,215,0,0.5,88895,11.6
64.6,217,0,0.49,87343,11.7
64.3,219,0,0.6,85858,10.4
64.1,222,0,0.46,8446,10
74.7,81,0,,,13.3
74.6,82,0,0.01,,13
74.5,83,1,0.01,,13.1
74.3,84,1,0.01,,13.2
74.2,85,1,0.02,,13.4
74,86,1,0.01,,13.5
73.9,87,1,0.1,,13.6
73.8,88,1,0.03,,13.8
73.7,89,1,0.03,,13.9
73.6,89,1,0.01,,14.1
73.6,9,0,0.01,,14.2
73.5,91,0,0.02,,14.4
73.4,93,0,0.03,,14.1
73.3,94,0,0.01,,13.9
73.2,95,0,0.01,,14
73.2,96,0,0.01,,14.1
71.1,166,3,,,13
78,17,3,0.01,,12.8
77,174,3,0.01,,12.5
69.9,18,3,0.01,,12.3
69.4,188,4,3.28,,12.1
68.8,199,4,2.73,,12.2
68.5,21,4,2.39,,12.4
67.6,217,4,2.53,,12.6
67.2,229,4,2.77,,12.6
66.7,234,4,2.48,,12.5
66.9,224,4,2.81,,12.4
67.1,218,4,3.41,,12.5
66.6,217,4,3.52,,12.2
66.7,215,4,3.31,,12.1
67.2,217,4,2.62,,11.8
66.6,225,4,2.13,,11.4
65.7,194,8,,,10.8
65.3,199,8,0.01,,10.6
64.9,23,9,0.01,,10.4
64.4,28,9,0.01,,10.2
64,213,9,5.39,,9.9
63.6,218,10,5.95,,9.6
63.1,223,10,5.18,,9.4
62.6,228,10,5.1,,9.2
62.1,234,11,5,,9
61.5,24,11,3.69,,9
61,246,11,3.68,,8.7
64,252,12,3.53,,8.6
59.8,259,12,3.41,,8.3
59.3,265,13,3.33,,8
58.7,271,13,3.13,,8
58.1,278,14,5.16,,8
74.6,153,0,,1977527,16
74.4,156,0,0.01,1993782,16
74.1,161,0,10.37,212647,15.4
73.8,163,0,10.21,234319,15.5
73.6,169,0,10.14,25979,15.8
72.8,18,0,9.8,297555,16
72.6,184,0,9.85,2141669,16.4
71.9,199,0,11.84,2177322,16.3
78,221,0,12.12,22325,16.2
75,229,0,10.4,2218357,16.2
76,216,0,9.92,2238799,15.9
71,26,0,8.81,2263122,15.5
78,29,0,8.24,2287955,15.2
73,219,0,7.44,231173,14.8
69.9,228,0,6.68,233717,14.2
71,218,0,7.13,236755,13.7
74.9,98,1,,5851479,13.3
74.8,99,1,1.32,563279,13.3
